name,ip,total_runs,first_seen,last_seen
0424 - Evo House - ECA Evo House  Electrical Incomer,172.16.134.41,12,2025-07-21,2025-07-24
"EDSCCU (Equine Diagnostic, Surgical and Critical Care Unit)",172.16.4.199,12,2025-07-21,2025-07-24
0424 - Evo House/ECA Evo House  Electrical Incomer,172.16.134.41,33,2025-07-24,2025-07-31
"EDSCCU(Equine Diagnostic, Surgical & Critical Care Unit)",172.16.4.199,33,2025-07-24,2025-07-31
0305 - Infirmary St - Controls,172.16.4.149,45,2025-07-21,2025-07-31
1-7 Buccleuch Place,172.16.7.47,45,2025-07-21,2025-07-31
13-15 South College St,172.16.7.9,45,2025-07-21,2025-07-31
30-34 Buccleuch Place,172.16.6.48,45,2025-07-21,2025-07-31
46 Pleasance - New LV Switchboard,172.16.6.45,45,2025-07-21,2025-07-31
50 George Square,172.16.6.156,45,2025-07-21,2025-07-31
55-60 George Square,172.16.6.226,45,2025-07-21,2025-07-31
68-72Pleasance,172.16.6.237,45,2025-07-21,2025-07-31
7 - 8 Chambers St,172.16.7.144,45,2025-07-21,2025-07-31
9-11 Infirmary St,172.16.6.154,45,2025-07-21,2025-07-31
ACF - WCDI-2,172.16.5.36,45,2025-07-21,2025-07-31
ACF - WCDI-3,172.16.5.37,45,2025-07-21,2025-07-31
Adam House,172.16.6.44,45,2025-07-21,2025-07-31
Adam House - Main Incomer,172.16.6.223,45,2025-07-21,2025-07-31
Appleton Tower - Basement Switchroom,172.16.6.224,45,2025-07-21,2025-07-31
Appleton Tower - Roof Chiller Plantroom,172.16.7.61,45,2025-07-21,2025-07-31
Archer/ACF,172.16.4.92,45,2025-07-21,2025-07-31
Archers Hall/Asham,172.16.6.62,45,2025-07-21,2025-07-31
Bayes PV,172.16.7.238,45,2025-07-21,2025-07-31
Centre Building - Basement,172.16.4.132,45,2025-07-21,2025-07-31
Chancellors Court PV,172.16.7.178,45,2025-07-21,2025-07-31
Charles Stewart House - Basement Secure Room B1.2,172.16.6.118,45,2025-07-21,2025-07-31
Charteris Land - Switchroom 1,172.16.6.152,45,2025-07-21,2025-07-31
Charteris Land - Switchroom 2,172.16.7.228,45,2025-07-21,2025-07-31
Dalhousie Land,172.16.6.249,45,2025-07-21,2025-07-31
Dalhousie Land Main Electricity,172.16.6.122,45,2025-07-21,2025-07-31
Darroch Court,172.16.6.168,45,2025-07-21,2025-07-31
Darwin Greenhouse,172.16.4.151,45,2025-07-21,2025-07-31
Deaconess,172.16.6.179,45,2025-07-21,2025-07-31
Dugald Stewart,172.16.6.233,45,2025-07-21,2025-07-31
ECA First Floor Electrical Switchroom,172.16.134.43,45,2025-07-21,2025-07-31
ECA Main Building - Electrical Incomer,172.16.6.128,45,2025-07-21,2025-07-31
ECCI Building,172.16.6.131,45,2025-07-21,2025-07-31
Easter Bush - Small Animals Electric,172.16.4.70,45,2025-07-21,2025-07-31
Easter Bush Energy Centre,172.16.4.173,45,2025-07-21,2025-07-31
Easter Bush Nursery,172.16.4.222,45,2025-07-21,2025-07-31
Energy Centre,172.16.6.150,45,2025-07-21,2025-07-31
Energy Centre Endress & Hauser,172.16.134.63,45,2025-07-21,2025-07-31
Fleming House,172.16.6.125,45,2025-07-21,2025-07-31
FloWave Ocean Research Building KB,172.16.4.113,45,2025-07-21,2025-07-31
HECToR 1  (Easter Bush),172.16.4.135,45,2025-07-21,2025-07-31
HECToR 2 (Easter Bush),172.16.4.94,45,2025-07-21,2025-07-31
High School Yards - Old Boilerhouse,172.16.6.155,45,2025-07-21,2025-07-31
Hugh Robson - Electrical Room,172.16.6.196,45,2025-07-21,2025-07-31
IRR TRF Plantroom Module 1,172.16.4.250,45,2025-07-21,2025-07-31
IRR TRF Plantroom Module 2,172.16.4.251,45,2025-07-21,2025-07-31
IRR TRF Plantroom Module 3,172.16.4.252,45,2025-07-21,2025-07-31
Informatics,172.16.6.232,45,2025-07-21,2025-07-31
JCMB - EUCS Electrical Plantroom,172.16.4.154,45,2025-07-21,2025-07-31
JCMB PV,172.16.4.209,45,2025-07-21,2025-07-31
JMC Pollock CHP,172.16.7.12,45,2025-07-21,2025-07-31
JMCC - 0846,172.16.134.49,45,2025-07-21,2025-07-31
John Burnett Plant,172.16.7.177,45,2025-07-21,2025-07-31
John Muir,172.16.133.9,45,2025-07-21,2025-07-31
KB Nursery,172.16.4.123,45,2025-07-21,2025-07-31
LARIF - External Switchroom,172.16.4.238,45,2025-07-21,2025-07-31
Lister LTC - Learing & Training Centre,172.16.7.54,45,2025-07-21,2025-07-31
MEP Building,172.16.4.219,45,2025-07-21,2025-07-31
Main Library - Chiller Plantroom,172.16.6.230,45,2025-07-21,2025-07-31
Main Library PV,172.16.134.35,45,2025-07-21,2025-07-31
Mary Bruck PV,172.16.4.129,45,2025-07-21,2025-07-31
McEwan Hall,172.16.7.36,45,2025-07-21,2025-07-31
Medical School - Old Pump House,172.16.6.204,45,2025-07-21,2025-07-31
Minto House Main Electricity Incomer,172.16.6.119,45,2025-07-21,2025-07-31
Murchison House,172.16.4.225,45,2025-07-21,2025-07-31
New College/Mound,172.16.6.213,45,2025-07-21,2025-07-31
New Easter Bush Vets School,172.16.4.48,45,2025-07-21,2025-07-31
Old College (Law Basement),172.16.6.112,45,2025-07-21,2025-07-31
Old College (Talbot Rice),172.16.6.111,45,2025-07-21,2025-07-31
Old College West - New Plantroom,172.16.7.109,45,2025-07-21,2025-07-31
Old Surgeons Hall,172.16.7.110,45,2025-07-21,2025-07-31
Outreach GHI,172.16.6.244,45,2025-07-21,2025-07-31
Outreach LM,172.16.6.246,45,2025-07-21,2025-07-31
Patersons Land,172.16.6.248,45,2025-07-21,2025-07-31
Pattersons Land Main Electricity No. 1 / No.2,172.16.6.121,45,2025-07-21,2025-07-31
Pentland House,172.16.7.237,45,2025-07-21,2025-07-31
Peter & Mary Reading Lib.(LLRC),172.16.4.75,45,2025-07-21,2025-07-31
Pleasance/Holyrood CHP 1,172.16.6.151,45,2025-07-21,2025-07-31
Pollock South Substation,172.16.7.45,45,2025-07-21,2025-07-31
Potterrow - Car Park,172.16.6.219,45,2025-07-21,2025-07-31
Potterrow Basement,172.16.6.220,45,2025-07-21,2025-07-31
QMRI - Main Switchroom,172.16.4.71,45,2025-07-21,2025-07-31
Roger Land,172.16.4.148,45,2025-07-21,2025-07-31
Roslin 2A - 1st Floor,172.16.4.121,45,2025-07-21,2025-07-31
Roslin 2B,172.16.4.124,45,2025-07-21,2025-07-31
Roslin Institute (EBRC) - Plantroom beside Genny,172.16.4.47,45,2025-07-21,2025-07-31
SCRM Little France - Beside DHW Control Panel,172.16.4.50,45,2025-07-21,2025-07-31
SCRM Little France - Beside Main LV Switchboard,172.16.4.49,45,2025-07-21,2025-07-31
Simon Laurie House Main Electricity,172.16.6.124,45,2025-07-21,2025-07-31
South Hall,172.16.7.26,45,2025-07-21,2025-07-31
